CCNE1	E2F1	CDC6	PCNA	RFC4	CDC2 	CCNA2	CCNB1	CDKN3
0.667455	0.047132	0.323916	0.514125	0.336073	0.49	-0.059828	-0.137518	-0.510465
0.042446	-0.265392	0.575208	-0.133704	1.001568	0.03	-0.219481	-0.730657	-0.901284
-0.631935	-0.086534	0.290648	-0.093485	0.506197	-0.19	-0.339889	-0.508759	-0.882595
-0.357473	0.203058	0.109681	0.704022	0.054684	0.88	0.810149	0.480467	0.11282
-1.337446	-1.190442	-0.3281	-0.178861	-0.698186	1.27	1.026146	1.272393	0.324061
-0.39007	-0.349435	-0.696689	-0.370448	-0.583851	1.27	1.031169	0.839842	0.642252
-0.311382	-0.301133	-0.614834	0.001663	-0.11229	-0.01	0.774472	0.955312	0.594696
1.056085	0.496353	0.228442	0.220626	0.002984	-1.85	-1.211467	-0.164386	0.352296
0.935495	0.94506	0.06515	-0.529104	0.220871	-1.36	-1.350086	-1.057866	-0.081927
1.160772	0.849496	0.565826	0.27338	-0.012129	0.06	-0.445034	-1.122751	-0.238336
-1.116984	0.71173	-0.418933	-0.037805	-0.612808	0.99	0.878444	0.239956	1.406832
0.261133	-0.412943	-0.106192	-0.429681	-0.325279	-1.22	-0.883186	-0.602765	-0.458768
